Date,Company,Revenue (M USD),Market Share (%),Competitor Activity,Product Launches,Stock Price,Marketing Spend (M USD),Consumer Sentiment (1-10)
2025-01-01,AlphaCorp,120,25,Price drop,1,50,5.0,7
2025-01-01,BetaInc,80,18,New campaign,0,35,3.0,6
2025-01-01,GammaLLC,60,12,Acquisition,2,20,2.0,5
2025-01-02,AlphaCorp,125,26,Price drop,0,52,6.0,7
2025-01-02,BetaInc,82,19,Launch promo,1,36,3.5,6
2025-01-02,GammaLLC,61,12,Acquisition,0,21,2.0,6
2025-01-03,AlphaCorp,130,27,New product,1,53,6.5,8
2025-01-03,BetaInc,83,18,Launch promo,0,37,3.0,6
2025-01-03,GammaLLC,62,13,Price drop,0,22,2.0,5
2025-01-04,AlphaCorp,135,28,New campaign,0,55,7.0,8
2025-01-04,BetaInc,85,19,Price drop,0,38,3.2,7
2025-01-04,GammaLLC,63,13,Acquisition,1,23,2.0,6
2025-01-05,AlphaCorp,140,29,New product,1,56,7.5,9
2025-01-05,BetaInc,87,18,Launch promo,0,39,3.0,7
2025-01-05,GammaLLC,64,14,Price drop,0,24,2.0,6
2025-01-06,AlphaCorp,145,30,New campaign,0,57,8.0,9
2025-01-06,BetaInc,88,19,Acquisition,1,40,3.5,7
2025-01-06,GammaLLC,65,14,Price drop,0,25,2.0,6
2025-01-07,AlphaCorp,150,31,New product,1,58,8.5,9
2025-01-07,BetaInc,90,20,Launch promo,0,41,4.0,7
